"class","idade_c","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","18 a 24",77869,105876,493184,2994.96153846154,73.5473572858816,15.7890361406696,18968.6153846154
"2","18 a 24",23507,105876,199168,904.115384615385,22.2023876988175,11.802598811054,7660.30769230769
"3","18 a 24",2141,105876,16182,82.3461538461538,2.02217688616873,13.2307502162897,622.384615384615
"4","18 a 24",2359,105876,18189,90.7307692307692,2.22807812913219,12.9693770960471,699.576923076923
"1","25 a 34",102766,144263,493184,3952.53846153846,71.2351746463057,20.8372534388788,18968.6153846154
"2","25 a 34",34447,144263,199168,1324.88461538462,23.8779174147217,17.2954490681234,7660.30769230769
"3","25 a 34",3351,144263,16182,128.884615384615,2.32284092248186,20.7081942899518,622.384615384615
"4","25 a 34",3699,144263,18189,142.269230769231,2.56406701649071,20.3364670954973,699.576923076923
"1","35 a 44",106123,152088,493184,4081.65384615385,69.7773657356267,21.5179324552297,18968.6153846154
"2","35 a 44",39617,152088,199168,1523.73076923077,26.0487349429278,19.8912475899743,7660.30769230769
"3","35 a 44",2531,152088,16182,97.3461538461539,1.66416811319762,15.6408354962304,622.384615384615
"4","35 a 44",3817,152088,18189,146.807692307692,2.50973120824786,20.9852108417175,699.576923076923
"1","45 a 54",87223,124412,493184,3354.73076923077,70.1081889206829,17.685691344407,18968.6153846154
"2","45 a 54",31540,124412,199168,1213.07692307692,25.3512522907758,15.8358772493573,7660.30769230769
"3","45 a 54",2005,124412,16182,77.1153846153846,1.61158087644279,12.3903102212335,622.384615384615
"4","45 a 54",3644,124412,18189,140.153846153846,2.92897791209851,20.0340865358184,699.576923076923
"1","55 e +",119203,200084,493184,4584.73076923077,59.5764778792907,24.1700866208149,18968.6153846154
"2","55 e +",70057,200084,199168,2694.5,35.0137942064333,35.174827281491,7660.30769230769
"3","55 e +",6154,200084,16182,236.692307692308,3.07570820255493,38.0299097762946,622.384615384615
"4","55 e +",4670,200084,18189,179.615384615385,2.33401971172108,25.6748584309198,699.576923076923
