"class","sex","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","1",278613,382102,493184,10715.8846153846,72.9158706314021,56.4927086036854,18968.6153846154
"2","1",93187,382102,199168,3584.11538461538,24.3879906412424,46.7881386568123,7660.30769230769
"3","1",5718,382102,16182,219.923076923077,1.49645906066966,35.3355580274379,622.384615384615
"4","1",4584,382102,18189,176.307692307692,1.19967966668586,25.2020451921491,699.576923076923
"1","2",214571,344621,493184,8252.73076923077,62.2628916984165,43.5072913963146,18968.6153846154
"2","2",105981,344621,199168,4076.19230769231,30.7529140708198,53.2118613431877,7660.30769230769
"3","2",10464,344621,16182,402.461538461538,3.03637909471564,64.6644419725621,622.384615384615
"4","2",13605,344621,18189,523.269230769231,3.94781513604801,74.7979548078509,699.576923076923
