"class","RACA","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","Branca",664.870573550237,1004.01207874389,1735.20058213784,25.5719451365476,66.2213719960472,38.316640761559,64.372025
"2","Branca",287.125447705059,1004.01207874389,693.354374501532,11.0432864501946,28.5978081124561,41.4110674518322,26.783956
"3","Branca",25.5548156612287,1004.01207874389,53.8842741837222,0.982877525431873,2.54526974348756,47.425368622574,5.700217
"4","Branca",26.461241827364,1004.01207874389,63.4989722770396,1.01774007028323,2.63555014800912,41.6719214161709,3.143802
"1","Preta",224.566058885902,319.411512395987,1735.20058213784,8.63715611099622,70.3061881525104,12.9417925050041,64.372025
"2","Preta",87.0127762910768,319.411512395987,693.354374501532,3.34664524196449,27.2415905232632,12.5495388059868,26.783956
"3","Preta",2.54759334542426,319.411512395987,53.8842741837222,0.0979843594393947,0.797589706868771,4.72789767333242,5.700217
"4","Preta",5.2850838735842,319.411512395987,63.4989722770396,0.203272456676316,1.65463161735763,8.32310143623415,3.143802
"1","Parda",771.769841138259,1092.91644053145,1735.20058213784,29.6834554283946,70.6156310324122,44.477269606918,64.372025
"2","Parda",274.404385163461,1092.91644053145,693.354374501532,10.5540148139793,25.1075356712566,39.5763544955978,26.783956
"3","Parda",21.3931463675916,1092.91644053145,53.8842741837222,0.822813321830445,1.95743659571896,39.702021956629,5.700217
"4","Parda",25.3490678621347,1092.91644053145,63.4989722770396,0.974964148543644,2.31939670061221,39.9204380057355,3.143802
"1","Amarela",42.2060671653598,78.2869779527045,1735.20058213784,1.62331027559076,53.9119892849328,2.43234514786527,64.372025
"2","Amarela",27.6476373147388,78.2869779527045,693.354374501532,1.06337066595149,35.3157549796361,3.98751898473495,26.783956
"3","Amarela",4.16816143044743,78.2869779527045,53.8842741837222,0.160313901171055,5.32420785608245,7.7353949618692,5.700217
"4","Amarela",4.26511204215845,78.2869779527045,63.4989722770396,0.164042770852248,5.44804787934864,6.71682058656037,3.143802
"1","Indígena",31.7880413980832,51.311193476108,1735.20058213784,1.22261697684935,61.9514753888635,1.83195197865361,64.372025
"2","Indígena",17.1641280271965,51.311193476108,693.354374501532,0.660158770276788,33.4510403372095,2.47552026184823,26.783956
"3","Indígena",0.220557379030225,51.311193476108,53.8842741837222,0.00848297611654713,0.429842621245836,0.409316785595403,5.700217
"4","Indígena",2.13846667179812,51.311193476108,63.4989722770396,0.0822487181460816,4.16764165268121,3.36771855529914,3.143802
