"class","internet_uso","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","internet_3g",145.437509012632,234.515391275673,1747.26429205424,5.59375034663968,62.0161893091571,8.32372696414706,67.2024727713168
"2","internet_3g",80.0039761044806,234.515391275673,707.668876534806,3.07707600401849,34.114595067424,11.3052839763465,27.2180337128771
"3","internet_3g",4.25566873294875,234.515391275673,56.9533149599605,0.163679566651875,1.81466500334992,7.47220550013742,2.19051211384463
"4","internet_3g",4.81823742561154,234.515391275673,64.994510980857,0.185316824061982,2.05455062006899,7.41329898924952,2.49978888387912
"1","internet_wifi",1392.3471511076,1937.12292924267,1747.26429205424,53.5518135041386,71.8770672779115,79.6872663992142,67.2024727713168
"2","internet_wifi",463.117183121087,1937.12292924267,707.668876534806,17.812199350811,23.9074751596764,65.442638284278,27.2180337128771
"3","internet_wifi",33.7168177219434,1937.12292924267,56.9533149599605,1.29680068161321,1.74056159332775,59.2007993663707,2.19051211384463
"4","internet_wifi",47.9417772920374,1937.12292924267,64.994510980857,1.84391451123221,2.47489596908445,73.7628094565676,2.49978888387912
"1","sem_internet",209.479631934002,405.242674011517,1747.26429205424,8.05690892053853,51.6923920820956,11.9890066366388,67.2024727713168
"2","sem_internet",164.547717309239,405.242674011517,707.668876534806,6.32875835804764,40.604735843926,23.2520777393756,27.2180337128771
"3","sem_internet",18.9808285050683,405.242674011517,56.9533149599605,0.73003186557955,4.68381780160914,33.3269951334918,2.19051211384463
"4","sem_internet",12.234496263208,405.242674011517,64.994510980857,0.470557548584925,3.01905427236924,18.8238915541829,2.49978888387912
