"class","REGIAO","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","Norte",34661,56720,493184,1333.11538461538,61.1089562764457,7.028005774721,18968.6153846154
"2","Norte",17495,56720,199168,672.884615384615,30.8444992947814,8.78404161311054,7660.30769230769
"3","Norte",2019,56720,16182,77.6538461538461,3.55959097320169,12.4768261030775,622.384615384615
"4","Norte",2545,56720,18189,97.8846153846154,4.48695345557123,13.9919731705976,699.576923076923
"1","Nordeste",125205,191036,493184,4815.57692307692,65.5400029313846,25.3870766286011,18968.6153846154
"2","Nordeste",56164,191036,199168,2160.15384615385,29.3996942984568,28.199309125964,7660.30769230769
"3","Nordeste",6821,191036,16182,262.346153846154,3.5705312087774,42.1517735755778,622.384615384615
"4","Nordeste",2846,191036,18189,109.461538461538,1.4897715613811,15.646819506295,699.576923076923
"1","Sudeste",226347,318040,493184,8705.65384615385,71.1693497673249,45.895041201661,18968.6153846154
"2","Sudeste",78094,318040,199168,3003.61538461538,24.5547729845302,39.2101140745501,7660.30769230769
"3","Sudeste",4019,318040,16182,154.576923076923,1.26367752483964,24.836237795081,622.384615384615
"4","Sudeste",9580,318040,18189,368.461538461538,3.01219972330524,52.6691956677113,699.576923076923
"1","Sul",70971,106469,493184,2729.65384615385,66.6588396622491,14.3903695172593,18968.6153846154
"2","Sul",31377,106469,199168,1206.80769230769,29.4705501131785,15.7540367930591,7660.30769230769
"3","Sul",1785,106469,16182,68.6538461538462,1.67654434624163,11.0307749351131,622.384615384615
"4","Sul",2336,106469,18189,89.8461538461538,2.19406587833078,12.8429270438177,699.576923076923
"1","Centro Oeste",36000,54458,493184,1384.61538461538,66.1059899371993,7.29950687775759,18968.6153846154
"2","Centro Oeste",16038,54458,199168,616.846153846154,29.4502185170223,8.0524983933162,7660.30769230769
"3","Centro Oeste",1538,54458,16182,59.1538461538462,2.82419479231701,9.50438759115066,622.384615384615
"4","Centro Oeste",882,54458,18189,33.9230769230769,1.61959675346138,4.84908461157843,699.576923076923
