"class","Posicao_politica","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","Mais à esquerda",87663,116707,358677,3371.65384615385,75.1137463905335,24.4406527321239,13795.2692307692
"2","Mais à esquerda",24769,116707,153561,952.653846153846,21.223234253301,16.1297464851102,5906.19230769231
"3","Mais à esquerda",2646,116707,13088,101.769230769231,2.26721619097398,20.2169926650367,503.384615384615
"4","Mais à esquerda",1629,116707,16685,62.6538461538461,1.39580316519146,9.7632604135451,641.730769230769
"1","No centro ou",135388,184847,358677,5207.23076923077,73.243276872224,37.7464961511332,13795.2692307692
"2","No centro ou",44320,184847,153561,1704.61538461538,23.9765860414289,28.8614947805758,5906.19230769231
"3","No centro ou",2544,184847,13088,97.8461538461539,1.37627335039249,19.4376528117359,503.384615384615
"4","No centro ou",2595,184847,16685,99.8076923076923,1.4038637359546,15.5528918189991,641.730769230769
"1","Mais à direita?",135626,240457,358677,5216.38461538462,56.4034317986168,37.8128511167429,13795.2692307692
"2","Mais à direita?",84472,240457,153561,3248.92307692308,35.1297737225367,55.0087587343141,5906.19230769231
"3","Mais à direita?",7898,240457,13088,303.769230769231,3.2845789475873,60.3453545232274,503.384615384615
"4","Mais à direita?",12461,240457,16685,479.269230769231,5.18221553125923,74.6838477674558,641.730769230769
