"class","CLASSE","Freq","sum_socio","sum_class","freq_total","freq_socio","freq_class","freq_br"
"1","A",43.4049957380886,65,1747.26429205424,1.66942291300341,66.7769165201363,2.4841688767678,67.2024727713168
"2","A",16.6198162961211,65,707.668876534806,0.639223703696964,25.5689481478786,2.34853006076828,27.2180337128771
"3","A",1.95335644722885,65,56.9533149599605,0.0751290941241867,3.00516376496747,3.42975022367374,2.19051211384463
"4","A",3.02183151856147,65,64.994510980857,0.116224289175441,4.64897156701764,4.64936418931053,2.49978888387912
"1","B1",114.759591819709,172.044854464506,1747.26429205424,4.4138304546042,66.7032979143153,6.5679583988286,67.2024727713168
"2","B1",44.5411439668204,172.044854464506,707.668876534806,1.71312092180079,25.8892624864928,6.294065691418,27.2180337128771
"3","B1",2.82741839488804,172.044854464506,56.9533149599605,0.108746861341848,1.64341933020227,4.96444921050826,2.19051211384463
"4","B1",9.91670028308783,172.044854464506,64.994510980857,0.381411549349532,5.76402026898964,15.2577504368155,2.49978888387912
"1","B2",273.06429005406,380.325644330399,1747.26429205424,10.5024726943869,71.7974962048158,15.6281045343759,67.2024727713168
"2","B2",85.3081393978485,380.325644330399,707.668876534806,3.28108228453264,22.4302885355106,12.0548101275234,27.2180337128771
"3","B2",9.99413665764585,380.325644330399,56.9533149599605,0.384389871447917,2.62778405995775,17.5479454789804,2.19051211384463
"4","B2",11.9590782208451,380.325644330399,64.994510980857,0.459964546955582,3.14443119971578,18.4001357043327,2.49978888387912
"1","C1",451.752000229918,615.902920448778,1747.26429205424,17.3750769319199,73.347923062412,25.854817859226,67.2024727713168
"2","C1",136.852404004248,615.902920448778,707.668876534806,5.2635540001634,22.2198011180935,19.3384799787104,27.2180337128771
"3","C1",9.62732694226351,615.902920448778,56.9533149599605,0.370281805471673,1.56312409352574,16.903892159801,2.19051211384463
"4","C1",17.6711892723479,615.902920448778,64.994510980857,0.679661125859535,2.86915172596873,27.1887410269963,2.49978888387912
"1","C2",422.260706420534,615.412445207136,1747.26429205424,16.2407964007898,68.6142618189025,24.1669625105248,67.2024727713168
"2","C2",168.562739203576,615.412445207136,707.668876534806,6.4831822770606,27.390206440632,23.8194365744846,27.2180337128771
"3","C2",9.6685364746387,615.412445207136,56.9533149599605,0.371866787486104,1.57106612808008,16.9762488477377,2.19051211384463
"4","C2",14.9204631083875,615.412445207136,64.994510980857,0.573863965707212,2.42446561238546,22.9564972229456,2.49978888387912
"1","DE",442.022707791927,728.195130079041,1747.26429205424,17.0008733766126,60.7011348378487,25.2979878202768,67.2024727713168
"2","DE",255.784633666192,728.195130079041,707.668876534806,9.83787052562276,35.1258368946285,36.1446775670953,27.2180337128771
"3","DE",22.8825400432955,728.195130079041,56.9533149599605,0.880097693972904,3.14236378384071,40.1777140792989,2.19051211384463
"4","DE",7.50524857762717,728.195130079041,64.994510980857,0.288663406831814,1.03066448368208,11.5475114195993,2.49978888387912
